activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,24,20,0.6115708569752033,32.38966874223104
logistic,0.0001,4,40,0.6119276306792016,19.326490129363393
relu,0.0001,22,40,0.6120750915655159,35.20679123148622
relu,0.0001,28,40,0.6140784071475778,36.39292823764414
tanh,0.0001,26,40,0.6157246675133181,22.759446554372513
relu,0.0001,23,40,0.6172686026339662,31.824906359458808
logistic,0.0001,1,20,0.6174135743754186,18.41546732788675
tanh,0.0001,27,20,0.6206741518030108,24.13037051841578
logistic,0.0001,5,40,0.6230693858839083,19.416175128024953
logistic,0.0001,4,20,0.6342615993166265,20.74326385379682
tanh,0.0001,25,20,0.6433636903612765,23.061386702957677
relu,0.0001,27,40,0.6486752733662073,43.31166308926199
tanh,0.0001,27,40,0.6647520935050407,29.002063740478434
logistic,0.0001,7,40,0.6772197295058046,28.015050383748644
relu,0.0001,29,20,0.6851334884887401,35.12955969002205
tanh,0.0001,29,40,0.6852586606294102,34.58279159550723
relu,0.0001,30,40,0.6861328566000832,32.979266779360216
logistic,0.0001,6,20,0.689988396669954,29.37022168933812
tanh,0.0001,25,40,0.690628835284571,27.807876697164012
tanh,0.0001,23,20,0.6917448361361527,36.7459155911543
logistic,0.0001,6,40,0.6920395332019642,28.535746981391036
logistic,0.0001,7,20,0.694176242187102,26.66499949834856
tanh,0.0001,28,20,0.700512158825485,29.444394245990644
relu,0.0001,28,20,0.7127233698771203,25.55429752729747
tanh,0.0001,28,40,0.7179333135535774,34.596283058407366
tanh,0.0001,30,20,0.7936684650671955,57.374504778185994
tanh,0.0001,29,20,0.7967669632892981,55.571112457741464
tanh,0.0001,30,40,0.8052619959269051,58.17354336486344
relu,0.0001,27,20,0.9909554394206231,147.80868254413247
logistic,0.0001,29,20,0.9915157578832543,147.74902186057565
logistic,0.0001,10,20,0.9918677678766956,147.76942169237594
logistic,0.0001,20,20,0.9918679288430265,147.84527451915838
logistic,0.0001,24,40,0.9919671324107009,148.0867846618283
logistic,0.0001,15,20,0.992234674567525,147.8931765392207
logistic,0.0001,14,20,0.9924266901610873,147.70644376545647
logistic,0.0001,8,20,0.992449448565925,147.70607490250623
logistic,0.0001,9,20,0.9925605191754299,147.71897468797124
logistic,0.0001,27,20,0.9926988198520517,148.30597946685432
logistic,0.0001,27,40,0.9927943495491265,147.6940823904064
logistic,0.0001,16,20,0.9929489819086281,147.708211203826
logistic,0.0001,18,40,0.9929908743131616,147.8979207012923
logistic,0.0001,22,20,0.9931310882390166,147.8499739185613
logistic,0.0001,30,20,0.9932830692696638,147.78626346464648
logistic,0.0001,24,20,0.9934601082542309,147.84149023087542
logistic,0.0001,12,20,0.993460213601191,148.248607029537
logistic,0.0001,20,40,0.993468360253951,148.15082498192936
logistic,0.0001,22,40,0.993585817429459,147.75204100483728
logistic,0.0001,14,40,0.993846437231081,147.9305564001724
logistic,0.0001,23,20,0.9942354800586874,147.92835276521456
logistic,0.0001,17,20,0.9943123412328521,148.07220996189105
logistic,0.0001,13,20,0.9943965339195469,148.14370919737576
logistic,0.0001,15,40,0.9944108708368369,148.45474481924794
logistic,0.0001,25,40,0.9945721884660088,147.81473407428277
logistic,0.0001,25,20,0.9947061115045011,147.95525721600603
logistic,0.0001,21,40,0.9950476211552842,149.05336617977187
logistic,0.0001,19,20,0.9952469850414614,147.72139851879214
logistic,0.0001,18,20,0.9956796730459325,147.7341315715622
logistic,0.0001,28,20,0.9958693121655582,147.79277740063733
logistic,0.0001,19,40,0.9959459859063857,147.85478079304238
logistic,0.0001,5,20,0.9960465690410175,147.67284568147667
logistic,0.0001,21,20,0.996217258757345,147.73586382006755
logistic,0.0001,26,20,0.9964168271137026,148.2147783065373
logistic,0.0001,11,20,0.996464803740266,148.45360154580408
logistic,0.0001,10,40,0.9966034398021799,147.77571708970845
relu,0.0001,30,20,0.9966041823845995,147.9887120489776
logistic,0.0001,9,40,0.997335639424492,147.70536236201318
logistic,0.0001,29,40,0.9973752388533902,148.02243401443428
logistic,0.0001,26,40,0.9984297781028741,147.8796998194961
logistic,0.0001,8,40,0.9992390775329965,147.86444988254453
logistic,0.0001,23,40,0.9994456337938546,147.73656675313077
