activation,alpha,layers,neurons,val_mse
relu,0.0001,19,40,0.3060593573291395
relu,0.0001,16,20,0.3062003397608957
relu,0.0001,27,20,0.3063952155471181
relu,0.0001,21,20,0.3071390477846442
relu,1e-05,29,60,0.307684732498465
relu,1e-05,23,40,0.307800174594282
logistic,0.0001,7,20,0.3085487287313316
tanh,1e-05,30,40,0.3086636313087187
tanh,1e-05,28,40,0.3089975688485061
tanh,0.0001,29,40,0.3091046869428219
tanh,1e-05,29,40,0.3091299502609709
tanh,1e-05,27,20,0.309384661250881
relu,1e-05,26,40,0.30946000852151473
tanh,0.0001,30,40,0.3094646588932126
logistic,1e-05,7,20,0.30959534232442526
logistic,1e-05,5,20,0.3104066132239933
logistic,0.0001,5,20,0.3105172623160595
tanh,0.0001,27,20,0.31057192227090635
tanh,0.0001,28,20,0.311900656991909
relu,0.0001,26,40,0.3122890049458012
tanh,1e-05,28,20,0.31329167572257294
relu,1e-05,29,40,0.3134960793530272
logistic,1e-05,5,60,0.3152140413220167
logistic,0.0001,5,60,0.3153210890779829
relu,0.0001,27,40,0.31728584087127826
tanh,0.0001,26,40,0.32011234667592714
tanh,1e-05,26,40,0.3201175949690562
logistic,1e-05,2,60,0.32344411029134895
logistic,0.0001,2,60,0.32345615266782063
logistic,1e-05,6,20,0.32351308218345987
logistic,0.0001,6,20,0.3237698634624246
tanh,0.0001,29,60,0.3242378551875117
tanh,1e-05,29,60,0.3242940614105752
logistic,1e-05,1,40,0.34200939676306474
logistic,0.0001,1,40,0.3420159052201546
logistic,1e-05,1,60,0.344758587132689
logistic,0.0001,1,60,0.3447683936335894
logistic,1e-05,1,20,0.34549924039632335
logistic,0.0001,1,20,0.3455038762122714
logistic,0.0001,25,60,1.0609266709646832
logistic,1e-05,25,60,1.060926768559449
logistic,0.0001,23,60,1.0615423104919424
logistic,1e-05,23,60,1.0615423115019833
logistic,1e-05,9,40,1.0616559331225675
logistic,0.0001,9,40,1.0616559378591668
logistic,0.0001,10,60,1.0618549555197345
logistic,1e-05,10,60,1.0618553794475547
logistic,1e-05,26,40,1.0619762010575429
logistic,0.0001,26,40,1.0619762433316497
logistic,1e-05,16,20,1.0620974734215773
logistic,0.0001,16,20,1.0620975301333215
logistic,0.0001,24,60,1.062148653675876
logistic,1e-05,24,60,1.0621487744453106
logistic,0.0001,17,40,1.0621692724399296
logistic,1e-05,17,40,1.06216939129666
logistic,0.0001,24,40,1.0622586926800415
logistic,1e-05,24,40,1.0622587908644212
logistic,0.0001,28,60,1.0622920432511014
logistic,1e-05,28,60,1.0622920695861395
logistic,0.0001,8,60,1.0624541306678892
logistic,1e-05,29,20,1.0624763320932484
logistic,0.0001,29,20,1.0624763496225165
logistic,0.0001,12,40,1.062582329137073
logistic,1e-05,12,40,1.0625823572883624
logistic,0.0001,24,20,1.0626239234818693
logistic,1e-05,24,20,1.0626240336405695
logistic,1e-05,30,40,1.0627034748493236
logistic,0.0001,30,40,1.0627035030615921
logistic,0.0001,14,40,1.0627802338934642
logistic,1e-05,14,40,1.062780240820674
logistic,0.0001,26,20,1.062921208244854
logistic,1e-05,26,20,1.0629212092228115
logistic,1e-05,19,20,1.0630411949171297
logistic,0.0001,19,20,1.063041296920714
logistic,1e-05,23,20,1.0630479520729719
logistic,0.0001,23,20,1.0630479557977448
relu,0.0001,30,20,1.0631116376229113
logistic,0.0001,27,20,1.0631387914194337
logistic,1e-05,27,20,1.0631388323216884
logistic,1e-05,16,60,1.063154396623794
logistic,0.0001,16,60,1.0631544100267951
logistic,0.0001,13,40,1.0632119890584788
logistic,1e-05,13,40,1.0632120184330653
logistic,0.0001,26,60,1.0632240333313538
logistic,1e-05,26,60,1.063224626244431
logistic,1e-05,15,60,1.0632536534192518
logistic,0.0001,15,60,1.0632537383901972
logistic,1e-05,28,20,1.0632626851995435
logistic,0.0001,28,20,1.0632628026470763
logistic,1e-05,20,20,1.0632662776708481
logistic,0.0001,18,60,1.0632663531002577
logistic,1e-05,18,60,1.063266383949326
logistic,0.0001,20,20,1.0632664589583631
logistic,1e-05,11,40,1.0632693900215628
logistic,0.0001,11,40,1.063269451821897
logistic,1e-05,29,40,1.06328763700981
logistic,0.0001,29,40,1.063287684254773
logistic,1e-05,17,60,1.063324895511163
logistic,0.0001,17,60,1.063325390053254
logistic,1e-05,10,40,1.0633545136178288
logistic,0.0001,10,40,1.0633545850242663
logistic,1e-05,27,40,1.0634539355803567
logistic,0.0001,27,40,1.0634539679022343
logistic,0.0001,15,20,1.0634736839640087
logistic,1e-05,15,20,1.0634737225654924
logistic,1e-05,21,60,1.0635099873478817
logistic,0.0001,21,60,1.0635101211058477
logistic,0.0001,20,40,1.063520962586277
logistic,1e-05,20,40,1.063521012870709
logistic,0.0001,20,60,1.0635578961199113
logistic,1e-05,20,60,1.0635579402001862
logistic,1e-05,9,20,1.0635731556303447
logistic,0.0001,9,20,1.0635731894287963
logistic,1e-05,11,60,1.063662462452168
logistic,0.0001,11,60,1.0636624916955044
logistic,1e-05,30,20,1.0636713761825143
logistic,0.0001,30,20,1.063671394381825
logistic,0.0001,21,20,1.0637222234404695
logistic,1e-05,21,20,1.0637222822898242
logistic,0.0001,21,40,1.0637605217678758
logistic,1e-05,21,40,1.0637605228167313
logistic,1e-05,18,40,1.0637897881123202
logistic,0.0001,18,40,1.0637900178508608
logistic,0.0001,11,20,1.0639388507280614
logistic,1e-05,11,20,1.0639388923800286
logistic,1e-05,15,40,1.0640191234096321
logistic,0.0001,15,40,1.0640191381946587
logistic,1e-05,8,40,1.0640483010891713
logistic,0.0001,8,40,1.064048405288921
logistic,1e-05,12,20,1.0640537418575193
logistic,0.0001,12,20,1.0640537948356308
logistic,0.0001,13,20,1.0640801758058023
logistic,1e-05,13,20,1.064080240586793
logistic,1e-05,19,40,1.0641526106800374
logistic,0.0001,19,40,1.0641526545411133
logistic,0.0001,29,60,1.0642913147716726
logistic,1e-05,29,60,1.0642913532194191
logistic,0.0001,17,20,1.0643191669492873
logistic,1e-05,17,20,1.064319174715751
logistic,0.0001,16,40,1.0644999473646712
logistic,1e-05,16,40,1.0645000108423532
logistic,1e-05,25,20,1.0645038307762877
logistic,0.0001,25,20,1.0645038359766301
logistic,0.0001,22,40,1.0645301652623291
logistic,1e-05,22,40,1.0645301656701853
logistic,1e-05,23,40,1.0646801391214518
logistic,0.0001,23,40,1.0646802095920511
logistic,1e-05,12,60,1.0647145625768035
logistic,0.0001,12,60,1.0647147476451582
logistic,0.0001,14,20,1.0647310098344982
logistic,1e-05,14,20,1.0647310125711253
logistic,1e-05,18,20,1.0647387780289999
logistic,0.0001,18,20,1.0647388912983753
logistic,1e-05,8,20,1.0647694380639772
logistic,0.0001,8,20,1.0647695412863738
logistic,1e-05,22,60,1.0649816533810146
logistic,0.0001,22,60,1.0649819015994635
logistic,1e-05,13,60,1.065053098361224
logistic,0.0001,13,60,1.0650532377261734
logistic,1e-05,25,40,1.0652498761051525
logistic,0.0001,25,40,1.0652499652933065
logistic,1e-05,27,60,1.06558651476859
logistic,0.0001,27,60,1.0655871895067306
logistic,0.0001,28,40,1.0659294881949661
logistic,1e-05,28,40,1.0659294962527406
logistic,0.0001,7,40,1.0664126032119874
logistic,1e-05,14,60,1.0664742136293777
logistic,0.0001,14,60,1.0664747959287584
logistic,1e-05,9,60,1.0668691507271952
logistic,0.0001,9,60,1.0668694649275334
logistic,1e-05,19,60,1.0688966150363464
logistic,0.0001,19,60,1.068899376820855
logistic,1e-05,22,20,1.0693911602250574
logistic,0.0001,22,20,1.0693911934958096
logistic,1e-05,30,60,1.069557218746336
logistic,0.0001,30,60,1.0695572975382193
logistic,1e-05,10,20,1.0756940889231246
logistic,0.0001,10,20,1.0756941197128882
