activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,9,40,0.29849145268187005,5.496508021880337
relu,0.0001,26,20,0.29877298025133153,4.3152712893887335
tanh,0.0001,17,40,0.29894164489083525,4.894717242219795
relu,0.0001,18,40,0.2996343652074037,4.491998627478607
relu,0.0001,19,40,0.299650064484328,4.496352284865558
logistic,0.0001,4,40,0.2998700301395942,4.016953584999794
tanh,0.0001,13,40,0.3001052381893592,5.694708752057671
logistic,0.0001,2,20,0.3002009671182053,3.807519179001248
tanh,0.0001,22,20,0.300769472525042,4.129038852021752
tanh,0.0001,1,20,0.30140397946894665,4.292385122620545
relu,0.0001,20,20,0.3018744851562502,4.5758167527050615
relu,0.0001,27,40,0.3021080161985121,4.607806353028162
relu,0.0001,25,20,0.3025998605709143,4.555717389170912
logistic,0.0001,6,40,0.3031184106129511,3.9868962217328106
tanh,0.0001,15,20,0.3033187960177504,4.562724335277194
relu,0.0001,18,20,0.3035628799465278,4.506878748563272
relu,0.0001,29,20,0.3037048875021638,4.881594604640267
logistic,0.0001,5,40,0.30403775231892294,3.9810770830018174
logistic,0.0001,7,40,0.3040543011154221,3.9501424061013295
relu,0.0001,25,40,0.3041428885186819,4.447583883939216
tanh,0.0001,20,20,0.30441345273195336,4.308355718717524
tanh,0.0001,1,40,0.30452477812648615,4.244037585212726
tanh,0.0001,18,20,0.30522814599879006,4.6329231945678
relu,0.0001,6,20,0.30527725519211524,5.627308953771656
relu,0.0001,21,40,0.3053491047980307,4.78646600510105
tanh,0.0001,16,20,0.30584415999967257,4.225328286329615
relu,0.0001,1,20,0.30585048319063335,4.284068466727608
relu,0.0001,16,20,0.30606041106553944,5.02699707161634
relu,0.0001,19,20,0.3067638899207593,5.037642054992077
tanh,0.0001,22,40,0.30685369430276654,4.35667916468936
logistic,0.0001,4,20,0.3073733898067756,4.0376001825386885
relu,0.0001,17,20,0.30737656945728675,5.611698625599385
relu,0.0001,22,20,0.3074458014419369,5.0846898632451865
relu,0.0001,17,40,0.3077019667516477,4.465694252750413
tanh,0.0001,25,20,0.3078678079796821,4.71740859057642
relu,0.0001,26,40,0.30815101836953646,4.718261450824734
tanh,0.0001,23,20,0.3083297672595524,4.980743536078213
relu,0.0001,23,20,0.308336662936225,4.791891473958444
