activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,26,60,0.3038136475391851,4.6793692016185835
logistic,0.0001,5,40,0.30403775231892294,3.9810770830018174
logistic,0.0001,7,40,0.3040543011154221,3.9501424061013295
relu,0.0001,25,40,0.3041428885186819,4.447583883939216
relu,0.0001,34,60,0.3041555296744945,4.655689624496754
relu,0.0001,10,10,0.3043386031650395,4.9485664125658335
tanh,0.0001,20,20,0.30441345273195336,4.308355718717524
relu,0.0001,9,60,0.30447263853966167,4.909939589611191
tanh,0.0001,1,40,0.30452477812648615,4.244037585212726
relu,0.0001,31,20,0.3046166304100971,4.64533553000088
relu,0.0001,15,10,0.30464035804747175,4.633364608095223
relu,0.0001,32,80,0.3047115625267711,4.4176716090032055
relu,0.0001,8,10,0.30521733240932347,4.5203379072105765
tanh,0.0001,18,20,0.30522814599879006,4.6329231945678
relu,0.0001,6,20,0.30527725519211524,5.627308953771656
relu,0.0001,21,40,0.3053491047980307,4.78646600510105
relu,0.0001,11,10,0.30540581710164255,5.413045297930182
tanh,0.0001,23,80,0.3054675483260923,4.572358797396155
tanh,0.0001,24,10,0.30565721793691425,4.2913898760399665
tanh,0.0001,23,10,0.3057684378221249,4.6301952826438795
tanh,0.0001,16,20,0.30584415999967257,4.225328286329615
relu,0.0001,1,20,0.30585048319063335,4.284068466727608
relu,0.0001,16,20,0.30606041106553944,5.02699707161634
relu,0.0001,13,80,0.306205005098431,5.836295370409986
relu,0.0001,20,80,0.3063121130969396,4.88285608608697
relu,0.0001,30,80,0.30658031369681626,4.97627625234161
relu,0.0001,27,80,0.3067394726555096,5.087283482743909
relu,0.0001,19,20,0.3067638899207593,5.037642054992077
relu,0.0001,20,60,0.3067886798217373,4.708079010482395
relu,0.0001,30,60,0.30680681540046645,4.246768527620036
tanh,0.0001,22,40,0.30685369430276654,4.35667916468936
tanh,0.0001,17,10,0.30697301034898095,4.310950494689406
relu,0.0001,23,10,0.3073013068766321,4.5821064913750345
logistic,0.0001,4,20,0.3073733898067756,4.0376001825386885
relu,0.0001,17,20,0.30737656945728675,5.611698625599385
relu,0.0001,22,20,0.3074458014419369,5.0846898632451865
relu,0.0001,31,40,0.30761045957438565,5.153769385201015
relu,0.0001,17,40,0.3077019667516477,4.465694252750413
tanh,0.0001,25,20,0.3078678079796821,4.71740859057642
relu,0.0001,25,80,0.3080035980999757,5.007371592753072
tanh,0.0001,18,10,0.30805514400329176,4.5269164301355085
relu,0.0001,26,40,0.30815101836953646,4.718261450824734
relu,0.0001,10,80,0.3081854752961613,6.074583160247619
relu,0.0001,9,10,0.3082265324151076,4.676357418888842
tanh,0.0001,23,20,0.3083297672595524,4.980743536078213
relu,0.0001,23,20,0.308336662936225,4.791891473958444
relu,0.0001,14,20,0.30856266558551093,4.9510449301192
relu,0.0001,17,80,0.3086567702540736,5.016411346139087
relu,0.0001,20,40,0.3086715063209014,5.2440391911779685
relu,0.0001,28,80,0.3090131814233031,4.755550944625704
relu,0.0001,37,60,0.3090437944203638,5.6861415007555465
tanh,0.0001,26,20,0.30906539421812523,4.720597818798671
relu,0.0001,22,60,0.30906626411569776,4.959654077720712
logistic,0.0001,3,20,0.309394111622413,4.216513470479997
relu,0.0001,15,40,0.3096780670641675,5.4579019611658595
relu,0.0001,28,60,0.30974705818033366,5.046265241610362
tanh,0.0001,22,80,0.31010027849111726,4.764023221318376
relu,0.0001,19,10,0.31024650422292455,5.639744746758292
relu,0.0001,26,80,0.31024795172797337,5.032797170674509
relu,0.0001,24,40,0.31043473465435095,4.7676236801515826
relu,0.0001,24,10,0.3104404139485139,5.321042903426036
tanh,0.0001,23,40,0.3104703004393898,4.645546548487862
relu,0.0001,21,20,0.310578452870117,4.7525990892057
relu,0.0001,26,10,0.3106722224941814,5.488352107169548
tanh,0.0001,19,40,0.3111657252143528,4.420424768881047
relu,0.0001,36,60,0.3112598799578056,4.897242863309041
tanh,0.0001,24,20,0.3112618382274989,4.438956528870539
relu,0.0001,22,40,0.31176981537064197,4.661207815745887
relu,0.0001,16,40,0.3118688237041178,4.80781803087619
relu,0.0001,30,40,0.31195622812900353,5.372354783971
relu,0.0001,19,80,0.3121684319049071,5.682651319648252
relu,0.0001,29,40,0.31222205021767563,4.797816149788752
relu,0.0001,24,20,0.3122332972786145,5.300977630067826
relu,0.0001,32,60,0.31284907966042175,5.217000729387094
tanh,0.0001,28,60,0.3130039434041085,4.988222364681348
tanh,0.0001,27,20,0.31304959777791536,4.4986815306804715
logistic,0.0001,5,80,0.31327540989115255,4.233580533949172
relu,0.0001,21,80,0.31329469209779237,5.601087854285871
tanh,0.0001,18,40,0.3132950545711507,4.891415436476277
relu,0.0001,18,10,0.3133390423703917,4.899576630587653
